mode,offset,brightness,acc,macro_f1,drift_cos_mean,drift_cos_std,n_test,n_features,n_offset_cols,n_bright_cols
offset,0.0,0.0,0.75,0.7370637319486425,3.7498476546105053e-13,2.877882360690277e-13,96,105,8,0
offset,0.005,0.0,0.7604166666666666,0.7473404864512879,5.530700507982757e-06,5.0007146922569455e-06,96,105,8,0
offset,0.01,0.0,0.7604166666666666,0.7473404864512879,2.210400985338858e-05,1.998059217980295e-05,96,105,8,0
offset,0.02,0.0,0.7708333333333334,0.7578436056696928,8.825812293815234e-05,7.97356870473532e-05,96,105,8,0
offset,0.03,0.0,0.75,0.7337161607875308,0.00019820294778791445,0.00017895996666436508,96,105,8,0
offset,0.05,0.0,0.7604166666666666,0.746343779677113,0.0005482804815653738,0.0004944313404466042,96,105,8,0
