mode,offset,brightness,acc,macro_f1,drift_cos_mean,drift_cos_std,n_test,n_features,n_offset_cols,n_bright_cols
brightness,0.0,0.0,0.75,0.7370637319486425,3.7498476546105053e-13,2.877882360690277e-13,96,105,8,48
brightness,0.0,0.01,0.75,0.7370637319486425,1.814960803187456e-06,2.405796008576673e-06,96,105,8,48
brightness,0.0,0.02,0.75,0.7370637319486425,7.241551569200459e-06,9.579959592267266e-06,96,105,8,48
brightness,0.0,0.05,0.75,0.7370637319486425,4.491687506123892e-05,5.906902349381172e-05,96,105,8,48
brightness,0.0,0.1,0.7604166666666666,0.7473404864512879,0.00017738566746753706,0.00023097214040983258,96,105,8,48
