mode,offset,brightness,acc,macro_f1,drift_cos_mean,drift_cos_std,n_test,n_features,n_offset_cols,n_bright_cols
offset,0.0,0.0,0.8059071729957806,0.8055599019454441,,,237,105,8,0
offset,0.005,0.0,0.810126582278481,0.8097281417291101,,,237,105,8,0
offset,0.01,0.0,0.7974683544303798,0.7969000107344572,,,237,105,8,0
offset,0.02,0.0,0.7932489451476793,0.7925440778201515,,,237,105,8,0
offset,0.03,0.0,0.8016877637130801,0.8005022841524762,,,237,105,8,0
offset,0.05,0.0,0.7637130801687764,0.7612374765155187,,,237,105,8,0
