sample_id,location_id,patch_id,label,nd_m0,nd_m1,nd_m2,nd_d01,nd_d12,nd_d02,nd_curv,nd_tstd,t0_nd_mean,t0_nd_std,t0_grad_mean,t0_grad_std,t0_lvar_mean,t0_lvar_std,t0_entropy16,t1_nd_mean,t1_nd_std,t1_grad_mean,t1_grad_std,t1_lvar_mean,t1_lvar_std,t1_entropy16,t2_nd_mean,t2_nd_std,t2_grad_mean,t2_grad_std,t2_lvar_mean,t2_lvar_std,t2_entropy16,td01_nd_mean,td12_nd_mean,td02_nd_mean,tcurv_nd_mean,td01_nd_std,td12_nd_std,td02_nd_std,tcurv_nd_std,td01_grad_mean,td12_grad_mean,td02_grad_mean,tcurv_grad_mean,td01_grad_std,td12_grad_std,td02_grad_std,tcurv_grad_std,td01_lvar_mean,td12_lvar_mean,td02_lvar_mean,tcurv_lvar_mean,td01_lvar_std,td12_lvar_std,td02_lvar_std,tcurv_lvar_std,td01_entropy16,td12_entropy16,td02_entropy16,tcurv_entropy16,B02_m0,B02_m1,B02_m2,B02_d01,B02_d12,B02_d02,B02_curv,B02_tstd,B03_m0,B03_m1,B03_m2,B03_d01,B03_d12,B03_d02,B03_curv,B03_tstd,B04_m0,B04_m1,B04_m2,B04_d01,B04_d12,B04_d02,B04_curv,B04_tstd,B08_m0,B08_m1,B08_m2,B08_d01,B08_d12,B08_d02,B08_curv,B08_tstd,B11_m0,B11_m1,B11_m2,B11_d01,B11_d12,B11_d02,B11_curv,B11_tstd,B12_m0,B12_m1,B12_m2,B12_d01,B12_d12,B12_d02,B12_curv,B12_tstd
0,accra_01,0,1,0.7291098833084106,0.5930162668228149,0.6816153526306152,-0.1360936164855957,0.08859908580780029,-0.04749453067779541,0.224692702293396,0.05639838541661594,0.7291098833084106,0.14976321160793304,0.04934388026595116,0.044502999633550644,0.0029791495762765408,0.004695451352745295,1.8740029335021973,0.5930162668228149,0.15965962409973145,0.04912276193499565,0.03720719367265701,0.0026604505255818367,0.003411110956221819,2.0769338607788086,0.6816153526306152,0.18952281773090363,0.049307599663734436,0.054221753031015396,0.0035965382121503353,0.007617906201630831,1.8675899505615234,-0.1360936164855957,0.08859908580780029,-0.04749453067779541,0.224692702293396,0.009896412491798401,0.02986319363117218,0.03975960612297058,0.01996678113937378,-0.00022111833095550537,0.0001848377287387848,-3.628060221672058e-05,0.00040595605969429016,-0.007295805960893631,0.017014559358358383,0.009718753397464752,0.024310365319252014,-0.00031869905069470406,0.0009360876865684986,0.0006173886358737946,0.0012547867372632027,-0.0012843403965234756,0.004206795245409012,0.002922454848885536,0.0054911356419324875,0.20293092727661133,-0.20934391021728516,-0.006412982940673828,-0.4122748374938965,0.03416662663221359,0.036680638790130615,0.052952639758586884,0.0025140121579170227,0.01627200096845627,0.01878601312637329,0.013757988810539246,0.008326747810065437,0.06712138652801514,0.06538157165050507,0.08382409811019897,-0.0017398148775100708,0.01844252645969391,0.016702711582183838,0.02018234133720398,0.008314206798687903,0.05450143665075302,0.06347978115081787,0.06966828554868698,0.00897834450006485,0.00618850439786911,0.01516684889793396,-0.0027898401021957397,0.006226659191082689,0.3092914819717407,0.2490871548652649,0.28524231910705566,-0.06020432710647583,0.03615516424179077,-0.02404916286468506,0.0963594913482666,0.024743392245173374,0.22169873118400574,0.2648589313030243,0.19421148300170898,0.043160200119018555,-0.07064744830131531,-0.027487248182296753,-0.11380764842033386,0.0290773176938771,0.11703203618526459,0.15830855071544647,0.11512776464223862,0.041276514530181885,-0.043180786073207855,-0.0019042715430259705,-0.08445730060338974,0.019921951008233317
1,accra_01,1,0,0.6881622076034546,0.597093403339386,0.3207527697086334,-0.0910688042640686,-0.27634063363075256,-0.36740943789482117,-0.18527182936668396,0.1562218394035729,0.6881622076034546,0.15831047296524048,0.06057904660701752,0.04870283231139183,0.00408615916967392,0.005158587358891964,2.0419158935546875,0.597093403339386,0.13395750522613525,0.05681249871850014,0.042569343000650406,0.0034751812927424908,0.003772897180169821,1.9643365144729614,0.3207527697086334,0.30150464177131653,0.052880533039569855,0.062010202556848526,0.004444355145096779,0.008555606938898563,2.1984353065490723,-0.0910688042640686,-0.27634063363075256,-0.36740943789482117,-0.18527182936668396,-0.024352967739105225,0.16754713654518127,0.14319416880607605,0.1919001042842865,-0.0037665478885173798,-0.003931965678930283,-0.007698513567447662,-0.00016541779041290283,-0.0061334893107414246,0.01944085955619812,0.013307370245456696,0.025574348866939545,-0.0006109778769314289,0.0009691738523542881,0.0003581959754228592,0.001580151729285717,-0.0013856901787221432,0.004782709758728743,0.0033970195800065994,0.006168399937450886,-0.07757937908172607,0.23409879207611084,0.15651941299438477,0.3116781711578369,0.03623718023300171,0.03604399412870407,0.32567042112350464,-0.00019318610429763794,0.28962642699480057,0.28943324089050293,0.2898196130990982,0.13648569541124705,0.0684160366654396,0.06487655639648438,0.3506370186805725,-0.0035394802689552307,0.28576046228408813,0.2822209820151329,0.28929994255304337,0.1338823083553346,0.05911245197057724,0.059904370456933975,0.34561964869499207,0.0007919184863567352,0.2857152782380581,0.2865071967244148,0.28492335975170135,0.13487451827879066,0.2945987582206726,0.24286456406116486,0.46148666739463806,-0.05173419415950775,0.2186221033334732,0.16688790917396545,0.27035629749298096,0.09328786102986296,0.23353682458400726,0.2554524540901184,0.34441572427749634,0.021915629506111145,0.08896327018737793,0.11087889969348907,0.06704764068126678,0.04794544197583141,0.1285739541053772,0.1535622775554657,0.2534846067428589,0.0249883234500885,0.09992232918739319,0.12491065263748169,0.07493400573730469,0.05396661449596163
2,accra_01,2,1,0.6596329212188721,0.5744714140892029,0.6371511220932007,-0.08516150712966919,0.0626797080039978,-0.022481799125671387,0.147841215133667,0.03603495121867435,0.6596329212188721,0.12829852104187012,0.06588941812515259,0.04514900594949722,0.004322443623095751,0.005056838970631361,1.9316225051879883,0.5744714140892029,0.11641496419906616,0.06792669743299484,0.047267213463783264,0.004770579282194376,0.004926024470478296,1.891641616821289,0.6371511220932007,0.19266903400421143,0.064715676009655,0.0512508824467659,0.004629342816770077,0.006219184026122093,2.130458354949951,-0.08516150712966919,0.0626797080039978,-0.022481799125671387,0.147841215133667,-0.011883556842803955,0.07625406980514526,0.06437051296234131,0.08813762664794922,0.0020372793078422546,-0.0032110214233398438,-0.0011737421154975891,-0.005248300731182098,0.0021182075142860413,0.0039836689829826355,0.006101876497268677,0.0018654614686965942,0.0004481356590986252,-0.00014123646542429924,0.00030689919367432594,-0.0005893721245229244,-0.00013081450015306473,0.001293159555643797,0.0011623450554907322,0.0014239740557968616,-0.03998088836669922,0.2388167381286621,0.1988358497619629,0.27879762649536133,0.034407325088977814,0.037870507687330246,0.07347843796014786,0.0034631825983524323,0.03560793027281761,0.039071112871170044,0.03214474767446518,0.01765870950681618,0.06471164524555206,0.06726396828889847,0.11062750965356827,0.002552323043346405,0.0433635413646698,0.045915864408016205,0.040811218321323395,0.02106913929829428,0.058723948895931244,0.06421779096126556,0.09706620872020721,0.00549384206533432,0.03284841775894165,0.03834225982427597,0.02735457569360733,0.016929034028808736,0.26733988523483276,0.2414424866437912,0.3512502908706665,-0.025897398591041565,0.1098078042268753,0.08391040563583374,0.13570520281791687,0.04686788203365003,0.2367531657218933,0.26196736097335815,0.2676706910133362,0.025214195251464844,0.005703330039978027,0.03091752529144287,-0.019510865211486816,0.013433693071572429,0.13566149771213531,0.16238227486610413,0.1629452109336853,0.02672077715396881,0.0005629360675811768,0.027283713221549988,-0.026157841086387634,0.012731054926543584
3,accra_01,3,1,0.6953187584877014,0.6383805871009827,0.6989026069641113,-0.05693817138671875,0.06052201986312866,0.003583848476409912,0.11746019124984741,0.027724265783441535,0.6953187584877014,0.11372483521699905,0.0576774924993515,0.044328659772872925,0.003659654874354601,0.004445208236575127,1.827224850654602,0.6383805871009827,0.11827961355447769,0.06739525496959686,0.0494333915412426,0.004782040137797594,0.005071175750344992,1.934345006942749,0.6989026069641113,0.12714876234531403,0.06138910353183746,0.05030642822384834,0.0042452095076441765,0.005372914951294661,1.86546790599823,-0.05693817138671875,0.06052201986312866,0.003583848476409912,0.11746019124984741,0.004554778337478638,0.008869148790836334,0.013423927128314972,0.0043143704533576965,0.009717762470245361,-0.006006151437759399,0.003711611032485962,-0.01572391390800476,0.005104731768369675,0.0008730366826057434,0.005977768450975418,-0.004231695085763931,0.0011223852634429932,-0.0005368306301534176,0.0005855546332895756,-0.0016592158935964108,0.000625967513769865,0.0003017392009496689,0.0009277067147195339,-0.00032422831282019615,0.10712015628814697,-0.06887710094451904,0.03824305534362793,-0.17599725723266602,0.03126852959394455,0.03436589241027832,0.036732569336891174,0.0030973628163337708,0.002366676926612854,0.005464039742946625,-0.0007306858897209167,0.002237323460533167,0.06228696182370186,0.0643797367811203,0.07396459579467773,0.0020927749574184418,0.009584859013557434,0.011677633970975876,0.007492084056138992,0.005083921982226154,0.05104782432317734,0.05623522773385048,0.058528147637844086,0.0051874034106731415,0.0022929199039936066,0.007480323314666748,-0.002894483506679535,0.0031291083700409027,0.2774142920970917,0.2587156891822815,0.31274712085723877,-0.01869860291481018,0.054031431674957275,0.035332828760147095,0.07273003458976746,0.02240397322898379,0.22829852998256683,0.2477445900440216,0.23461948335170746,0.019446060061454773,-0.013125106692314148,0.006320953369140625,-0.03257116675376892,0.008099191517218015,0.1255706250667572,0.14214155077934265,0.13425642251968384,0.01657092571258545,-0.007885128259658813,0.008685797452926636,-0.024456053972244263,0.0067676838647318166
4,accra_01,4,0,0.7486468553543091,0.5961818695068359,0.6786271333694458,-0.15246498584747314,0.08244526386260986,-0.07001972198486328,0.234910249710083,0.062312434027321006,0.7486468553543091,0.12123500555753708,0.04931327700614929,0.04651065915822983,0.0030127265490591526,0.005165245849639177,1.7270574569702148,0.5961818695068359,0.15973025560379028,0.05848778411746025,0.046832483261823654,0.0037655732594430447,0.004700598306953907,2.1930253505706787,0.6786271333694458,0.19688475131988525,0.047603681683540344,0.04645846411585808,0.002964662155136466,0.0049936240538954735,1.960641860961914,-0.15246498584747314,0.08244526386260986,-0.07001972198486328,0.234910249710083,0.038495250046253204,0.03715449571609497,0.07564974576234818,-0.0013407543301582336,0.009174507111310959,-0.010884102433919907,-0.0017095953226089478,-0.020058609545230865,0.0003218241035938263,-0.00037401914596557617,-5.219504237174988e-05,-0.0006958432495594025,0.0007528467103838921,-0.0008009111043065786,-4.806439392268658e-05,-0.0015537578146904707,-0.0004646475426852703,0.00029302574694156647,-0.00017162179574370384,0.0007576732896268368,0.46596789360046387,-0.23238348960876465,0.23358440399169922,-0.6983513832092285,0.0270085446536541,0.03669314086437225,0.05643705651164055,0.009684596210718155,0.019743915647268295,0.02942851185798645,0.01005931943655014,0.012245865148089561,0.060050755739212036,0.06616174429655075,0.08968749642372131,0.006110988557338715,0.023525752127170563,0.029636740684509277,0.017414763569831848,0.012776460963201222,0.04530290514230728,0.06195790693163872,0.0743446797132492,0.016655001789331436,0.012386772781610489,0.029041774570941925,-0.004268229007720947,0.011898860331866002,0.29550522565841675,0.24656462669372559,0.3089684247970581,-0.04894059896469116,0.06240379810333252,0.013463199138641357,0.11134439706802368,0.026813499866445656,0.20571044087409973,0.2585687041282654,0.21901151537895203,0.05285826325416565,-0.039557188749313354,0.013301074504852295,-0.092415452003479,0.02244916667342048,0.10488706827163696,0.154668390750885,0.12871365249156952,0.04978132247924805,-0.02595473825931549,0.023826584219932556,-0.07573606073856354,0.020329329172629168
5,accra_01,5,0,0.6430462598800659,0.5046219825744629,0.48097291588783264,-0.13842427730560303,-0.02364906668663025,-0.16207334399223328,0.11477521061897278,0.07148296435402708,0.6430462598800659,0.1303490698337555,0.06178486347198486,0.0446404367685318,0.003983884118497372,0.005071798339486122,1.9436593055725098,0.5046219825744629,0.09803999215364456,0.062336403876543045,0.04783747345209122,0.004229806829243898,0.004723942372947931,1.6720095872879028,0.48097291588783264,0.28627094626426697,0.061004117131233215,0.05630799010396004,0.004674468655139208,0.0074758329428732395,2.36027455329895,-0.13842427730560303,-0.02364906668663025,-0.16207334399223328,0.11477521061897278,-0.03230907768011093,0.1882309541106224,0.15592187643051147,0.22054003179073334,0.0005515404045581818,-0.0013322867453098297,-0.000780746340751648,-0.0018838271498680115,0.0031970366835594177,0.00847051665186882,0.011667553335428238,0.0052734799683094025,0.0002459227107465267,0.00044466182589530945,0.0006905845366418362,0.00019873911514878273,-0.00034785596653819084,0.0027518905699253082,0.0024040346033871174,0.003099746536463499,-0.27164971828460693,0.6882649660110474,0.41661524772644043,0.9599146842956543,0.03757026046514511,0.0424993671476841,0.18309718370437622,0.004929106682538986,0.14059781655669212,0.1455269232392311,0.13566870987415314,0.06747026299758876,0.06846176832914352,0.07183769345283508,0.21162691712379456,0.003375925123691559,0.13978922367095947,0.14316514879465103,0.1364132985472679,0.06670722412516493,0.062438033521175385,0.07268640398979187,0.20230600237846375,0.010248370468616486,0.12961959838867188,0.13986796885728836,0.11937122792005539,0.06365647221695003,0.2687188982963562,0.22173577547073364,0.3749260902404785,-0.04698312282562256,0.15319031476974487,0.10620719194412231,0.20017343759536743,0.06407864438013017,0.24281612038612366,0.2800832986831665,0.28959402441978455,0.03726717829704285,0.009510725736618042,0.04677790403366089,-0.027756452560424805,0.020186543339680348,0.13977837562561035,0.18382909893989563,0.19759875535964966,0.04405072331428528,0.013769656419754028,0.05782037973403931,-0.03028106689453125,0.024660508183955203
6,accra_01,6,0,0.7191177010536194,0.6138437986373901,0.6428806781768799,-0.10527390241622925,0.029036879539489746,-0.0762370228767395,0.134310781955719,0.04439446732350665,0.7191177010536194,0.0964350700378418,0.048928312957286835,0.04151340574026108,0.002775214146822691,0.004565692041069269,1.671389102935791,0.6138437986373901,0.11823984235525131,0.06520455330610275,0.04758153483271599,0.004415757022798061,0.005084894131869078,1.9548397064208984,0.6428806781768799,0.19618164002895355,0.06724219769239426,0.057464975863695145,0.005374595522880554,0.007616713177412748,2.1590051651000977,-0.10527390241622925,0.029036879539489746,-0.0762370228767395,0.134310781955719,0.021804772317409515,0.07794179767370224,0.09974656999111176,0.056137025356292725,0.016276240348815918,0.002037644386291504,0.018313884735107422,-0.014238595962524414,0.00606812909245491,0.009883441030979156,0.015951570123434067,0.003815311938524246,0.0016405428759753704,0.0009588385000824928,0.0025993813760578632,-0.0006817043758928776,0.0005192020907998085,0.0025318190455436707,0.003051021136343479,0.002012616954743862,0.2834506034851074,0.20416545867919922,0.48761606216430664,-0.0792851448059082,0.027791090309619904,0.03533630445599556,0.06508681923151016,0.007545214146375656,0.029750514775514603,0.03729572892189026,0.022205300629138947,0.016100361561633404,0.05986887216567993,0.06558996438980103,0.09854297339916229,0.005721092224121094,0.03295300900936127,0.03867410123348236,0.027231916785240173,0.017043466670140093,0.047322094440460205,0.05915004760026932,0.08544111251831055,0.011827953159809113,0.02629106491804123,0.03811901807785034,0.014463111758232117,0.015931032294427327,0.2845427691936493,0.2524554133415222,0.3106674551963806,-0.032087355852127075,0.0582120418548584,0.026124686002731323,0.09029939770698547,0.023806487073984514,0.2185622751712799,0.2517441213130951,0.24014532566070557,0.033181846141815186,-0.011598795652389526,0.02158305048942566,-0.04478064179420471,0.013749323386964994,0.11557348817586899,0.1484404355287552,0.14824923872947693,0.0328669473528862,-0.00019119679927825928,0.03267575055360794,-0.03305814415216446,0.015448759240919487
7,accra_01,7,0,0.7128887176513672,0.6333639621734619,0.595162034034729,-0.07952475547790527,-0.03820192813873291,-0.11772668361663818,0.04132282733917236,0.04903869909765094,0.7128887176513672,0.12824313342571259,0.06224648654460907,0.04677199572324753,0.004159890115261078,0.005346676800400019,1.8759961128234863,0.6333639621734619,0.11811408400535583,0.07399742305278778,0.05053131282329559,0.0056022885255515575,0.005711120553314686,1.9543721675872803,0.595162034034729,0.23516039550304413,0.06999175250530243,0.05767683684825897,0.00554470531642437,0.0073636192828416824,2.2957563400268555,-0.07952475547790527,-0.03820192813873291,-0.11772668361663818,0.04132282733917236,-0.01012904942035675,0.1170463114976883,0.10691726207733154,0.12717536091804504,0.011750936508178711,-0.0040056705474853516,0.007745265960693359,-0.015756607055664062,0.003759317100048065,0.007145524024963379,0.010904841125011444,0.0033862069249153137,0.0014423984102904797,-5.758320912718773e-05,0.001384815201163292,-0.0014999816194176674,0.00036444375291466713,0.0016524987295269966,0.0020169424824416637,0.0012880549766123295,0.07837605476379395,0.3413841724395752,0.41976022720336914,0.26300811767578125,0.032035645097494125,0.03579111397266388,0.10031156241893768,0.003755468875169754,0.0645204484462738,0.06827591732144356,0.06076497957110405,0.031337929982451405,0.06505469232797623,0.06518752127885818,0.1384512186050415,0.000132828950881958,0.07326369732618332,0.07339652627706528,0.07313086837530136,0.034568188746580165,0.05212636664509773,0.05741545557975769,0.1231585144996643,0.005289088934659958,0.06574305891990662,0.07103214785456657,0.06045396998524666,0.03231045631703985,0.2916887700557709,0.259989857673645,0.3730391263961792,-0.031698912382125854,0.11304926872253418,0.08135035634040833,0.14474818110466003,0.04761283519950949,0.21993717551231384,0.24533416330814362,0.28159743547439575,0.025396987795829773,0.036263272166252136,0.06166025996208191,0.010866284370422363,0.025302655890234844,0.1206107884645462,0.143003910779953,0.17964859306812286,0.0223931223154068,0.03664468228816986,0.05903780460357666,0.014251559972763062,0.02433503884307056
8,accra_01,8,1,0.6516973376274109,0.5612687468528748,0.6979749798774719,-0.09042859077453613,0.13670623302459717,0.046277642250061035,0.2271348237991333,0.056772004397187624,0.6516973376274109,0.18741612136363983,0.0585210844874382,0.04941819980740547,0.004093822091817856,0.008968006819486618,2.1345653533935547,0.5612687468528748,0.13310059905052185,0.053039077669382095,0.040703993290662766,0.003127884119749069,0.0037621995434165,1.9566388130187988,0.6979749798774719,0.11617244780063629,0.038171879947185516,0.037698522210121155,0.001958644250407815,0.004200642928481102,1.6213362216949463,-0.09042859077453613,0.13670623302459717,0.046277642250061035,0.2271348237991333,-0.05431552231311798,-0.01692815124988556,-0.07124367356300354,0.03738737106323242,-0.005482006818056107,-0.014867197722196579,-0.020349204540252686,-0.009385190904140472,-0.008714206516742706,-0.0030054710805416107,-0.011719677597284317,0.005708735436201096,-0.0009659379720687866,-0.0011692398693412542,-0.002135177841410041,-0.0002033018972724676,-0.005205807276070118,0.0004384433850646019,-0.004767363891005516,0.00564425066113472,-0.17792654037475586,-0.33530259132385254,-0.5132291316986084,-0.15737605094909668,0.051607053726911545,0.0393119640648365,0.0362919420003891,-0.012295089662075043,-0.003020022064447403,-0.015315111726522446,0.00927506759762764,0.006623547306257502,0.0843198299407959,0.06714487075805664,0.0736614465713501,-0.017174959182739258,0.006516575813293457,-0.0106583833694458,0.023691534996032715,0.0070792821301883715,0.07452880591154099,0.06311286985874176,0.05855158716440201,-0.011415936052799225,-0.004561282694339752,-0.015977218747138977,0.006854653358459473,0.006719791784747283,0.28955256938934326,0.23033398389816284,0.3111700117588043,-0.05921858549118042,0.08083602786064148,0.02161744236946106,0.1400546133518219,0.03417051699030031,0.23368589580059052,0.25542891025543213,0.2234606146812439,0.021743014454841614,-0.03196829557418823,-0.010225281119346619,-0.053711310029029846,0.013330362058397952,0.1367403268814087,0.1580049991607666,0.12906131148338318,0.02126467227935791,-0.028943687677383423,-0.007679015398025513,-0.05020835995674133,0.012242415434316522
9,accra_01,9,0,0.7169981002807617,0.6181668639183044,0.5352301597595215,-0.09883123636245728,-0.08293670415878296,-0.18176794052124023,0.015894532203674316,0.07430096034895026,0.7169981002807617,0.10722652077674866,0.050772808492183685,0.04209981486201286,0.002974791917949915,0.004188960418105125,1.7704085111618042,0.6181668639183044,0.12482259422540665,0.06023133546113968,0.04750828817486763,0.004007205832749605,0.004958412144333124,1.9849181175231934,0.5352301597595215,0.2432371973991394,0.06224138289690018,0.05329257994890213,0.004580756649374962,0.0066010053269565105,2.3238446712493896,-0.09883123636245728,-0.08293670415878296,-0.18176794052124023,0.015894532203674316,0.01759607344865799,0.11841460317373276,0.13601067662239075,0.10081852972507477,0.009458526968955994,0.002010047435760498,0.011468574404716492,-0.007448479533195496,0.005408473312854767,0.0057842917740345,0.011192765086889267,0.0003758184611797333,0.0010324139147996902,0.0005735508166253567,0.001605964731425047,-0.00045886309817433357,0.0007694517262279987,0.0016425931826233864,0.002412044908851385,0.0008731414563953876,0.21450960636138916,0.3389265537261963,0.5534361600875854,0.12441694736480713,0.027058959007263184,0.03291132673621178,0.1208784431219101,0.005852367728948593,0.08796711638569832,0.09381948411464691,0.08211474865674973,0.042914073543391225,0.057697657495737076,0.0625314712524414,0.15508919954299927,0.0048338137567043304,0.09255772829055786,0.09739154204726219,0.08772391453385353,0.04481494205692124,0.04570559039711952,0.055308546870946884,0.144150510430336,0.009602956473827362,0.08884196355938911,0.09844492003321648,0.07923900708556175,0.044317683381182214,0.269054651260376,0.23918978869915009,0.3513410687446594,-0.02986486256122589,0.11215128004550934,0.08228641748428345,0.14201614260673523,0.04742347535655611,0.2121373862028122,0.2376355230808258,0.2832892835140228,0.02549813687801361,0.04565376043319702,0.07115189731121063,0.02015562355518341,0.029433566093694092,0.11276206374168396,0.13669174909591675,0.18921616673469543,0.023929685354232788,0.052524417638778687,0.07645410299301147,0.0285947322845459,0.03193165297233632
